Nameoforg,OGRN,INN,Orgaddr,Productmanufaddress,Regnumber,Ektrudp,Docdate,Docvalidtill,Enddate,Registernumber,Productname,OKPD2,TNVED,Nameofregulations,Score,Percentage,Scoredesc,Iselectronicproduct,Isai,ElectronicProductLevel,Docname,Docdatebasis,Docnum,Docvalidtilltpp,Mptdep,Resdocnum
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\12\2023,-,2023-05-24,2026-05-23,-,10115911,Передвижной мусорный контейнер 120л Арт.23.C29.V/1 (20.801.60.PE; 21.051.60.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\5\2023,-,2023-05-24,2026-05-23,-,10115912,Передвижной мусорный контейнер 120л  Арт.23.C21 (20.801.30.PE; 21.051.30.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\26\2023,-,2023-05-24,2026-05-23,-,10115913,Передвижной мусорный контейнер 240л  Арт.24.C29.V/1 (20.802.40.PE; 21.052.40.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\118\2023,-,2023-05-24,2026-05-23,-,10115914,Передвижной мусорный контейнер 1100л  Арт.22.C19.V (20.800.60.PE; 21.050.60.PE.V),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\54\2023,-,2023-05-24,2026-05-23,-,10115915,Передвижной мусорный контейнер 360л  Арт.28.C82.H (20.806.60.PE; 21.055.60.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\124\2023,-,2023-05-24,2026-05-23,-,10115916,Передвижной мусорный контейнер 1100л  Арт.22.C19 (20.800.98.PE; 21.050.98.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\38\2023,-,2023-05-24,2026-05-23,-,10115917,Передвижной мусорный контейнер 360л  Арт.28.C82.V/1 (20.806.20.PE; 21.055.20.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\41\2023,-,2023-05-24,2026-05-23,-,10115918,Передвижной мусорный контейнер 360л  Арт.28.C29.V/1 (20.806.30.PE; 21.055.30.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\2\2023,-,2023-05-24,2026-05-23,-,10115919,Передвижной мусорный контейнер 120л  Арт.23.C21 (20.801.20.PE; 21.051.20.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\35\2023,-,2023-05-24,2026-05-23,-,10115920,Передвижной мусорный контейнер 360л  Арт.28.C29 (20.806.20.PE; 21.055.20.PE),22.29.29.190,3926 90,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\73\2023,-,2023-05-24,2026-05-23,-,10115921,Передвижной мусорный контейнер 660л  Арт.25.C19 (20.803.60.PE; 21.053.60.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\108\2023,-,2023-05-24,2026-05-23,-,10115922,Передвижной мусорный контейнер 1100л  Арт.22.C19.W (20.800.30.PE; 21.050.30.PE.W),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\7\2023,-,2023-05-24,2026-05-23,-,10115923,Передвижной мусорный контейнер 120л  Арт.23.C29 (20.801.40.PE; 21.051.40),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\19\2023,-,2023-05-24,2026-05-23,-,10115924,Передвижной мусорный контейнер 240л  Арт.24.C21 (20.802.20.PE; 21.052.20.Т),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\95\2023,-,2023-05-24,2026-05-23,-,10115925,Передвижной мусорный контейнер 770л Арт.26.C19 (20.804.98.PE; 21.053.98.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\97\2023,-,2023-05-24,2026-05-23,-,10115926,Передвижной мусорный контейнер 770л Арт.26.C19.H (20.804.98.PE; 21.053.98.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\91\2023,-,2023-05-24,2026-05-23,-,10115927,Передвижной мусорный контейнер 770л Арт.26.C19.V/1 (20.804.60.PE; 21.053.60.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\93\2023,-,2023-05-24,2026-05-23,-,10115928,Передвижной мусорный контейнер 770л Арт.26.C19.V/1 (20.804.70.PE; 21.053.70.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\85\2023,-,2023-05-24,2026-05-23,-,10115929,Передвижной мусорный контейнер 770л Арт.26.C19.V/1 (20.804.30.PE; 21.053.30.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\76\2023,-,2023-05-24,2026-05-23,-,10115930,Передвижной мусорный контейнер 660л Арт.25.C19.V/1 (20.803.70.PE; 21.053.70.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\17\2023,-,2023-05-24,2026-05-23,-,10115931,Передвижной мусорный контейнер 120л Арт.23.C29.V/1 (20.801.98.PE; 21.051.98.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\34\2023,-,2023-05-24,2026-05-23,-,10115932,Передвижной мусорный контейнер 240л  Арт.24.C29.V/1 (20.802.98.PE; 21.052.98.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\23\2023,-,2023-05-24,2026-05-23,-,10115933,Передвижной мусорный контейнер 240л  Арт.24.C29.V/1 (20.802.30.PE; 21.052.30.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\120\2023,-,2023-05-24,2026-05-23,-,10115934,Передвижной мусорный контейнер 1100л  Арт.22.C19.H (20.800.60.PE; 21.050.60.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\129\2023,-,2023-05-24,2026-05-23,-,10115935,Передвижной мусорный контейнер 1100л  Арт.22.C19.H (20.800.98.PE; 21.050.98.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\62\2023,-,2023-05-24,2026-05-23,-,10115936,Передвижной мусорный контейнер 360л  Арт.28.C82.V/1 (20.806.98.PE; 21.055.98.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\63\2023,-,2023-05-24,2026-05-23,-,10115937,Передвижной мусорный контейнер 360л  Арт.28.C82.H (20.806.98.PE; 21.055.98.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\44\2023,-,2023-05-24,2026-05-23,-,10115938,Передвижной мусорный контейнер 360л  Арт.28.C82.H (20.806.30.PE; 21.055.30.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\60\2023,-,2023-05-24,2026-05-23,-,10115939,Передвижной мусорный контейнер 360л  Арт.28.C29.V/1 (20.806.98.PE; 21.055.98.PE.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\37\2023,-,2023-05-24,2026-05-23,-,10115940,Передвижной мусорный контейнер 360л  Арт.28.C29.H (20.806.20.PE; 21.055.20.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\121\2023,-,2023-05-24,2026-05-23,-,10115941,Передвижной мусорный контейнер 1100л  Арт.22.C21 (20.800.70.PE; 21.050.70.PE) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\47\2023,-,2023-05-24,2026-05-23,-,10115942,Передвижной мусорный контейнер 360л  Арт.28.C29.H (20.806.40.PE; 21.055.40.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\50\2023,-,2023-05-24,2026-05-23,-,10115943,Передвижной мусорный контейнер 360л  Арт.28.C29 (20.806.60.PE; 21.055.60.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\58\2023,-,2023-05-24,2026-05-23,-,10115944,Передвижной мусорный контейнер 360л  Арт.28.C82.H (20.806.70.PE; 21.055.70.PE.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\64\2023,-,2023-05-24,2026-05-23,-,10115945,Передвижной мусорный контейнер 660л  Арт.25.C19 (20.803.20.PE; 21.053.20.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\90\2023,-,2023-05-24,2026-05-23,-,10115946,Передвижной мусорный контейнер 770л  Арт.26.C19 (20.804.60.PE; 21.053.60.PE),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\102\2023,-,2023-05-24,2026-05-23,-,10115947,Передвижной мусорный контейнер 1100л  Арт.22.C19.W (20.800.20.PE; 21.050.20.PE.W),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\105\2023,-,2023-05-24,2026-05-23,-,10115948,Передвижной мусорный контейнер 1100л  Арт.22.C21 (20.800.30.PE; 21.050.30.PE) ,22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\18\2023,-,2023-05-24,2026-05-23,-,10115949,Передвижной мусорный контейнер 240л  Арт.24.C29 (20.802.20.PE; 21.052.20),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\24\2023,-,2023-05-24,2026-05-23,-,10115950,Передвижной мусорный контейнер 240л  Арт.24.C29 (20.802.40.PE; 21.052.40),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО  22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\27\2023,-,2023-05-24,2026-05-23,-,10115951,Передвижной мусорный контейнер 240л  Арт.24.C29 (20.802.60.PE; 21.052.60),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\15\2023,-,2023-05-24,2026-05-23,-,10115952,Передвижной мусорный контейнер 120л  Арт.23.C29 (20.801.98.PE; 21.051.98),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\1\2023,-,2023-05-24,2026-05-23,-,10115953,Передвижной мусорный контейнер 120л. Арт.23.С29 (20.801.20.РЕ;21.051.20),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\4\2023,-,2023-05-24,2026-05-23,-,10115954,Передвижной мусорный контейнер 120л  Арт.23.C29 (20.801.30.PE; 21.051.30),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",140.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\88\2023,-,2023-05-24,2026-05-23,-,10115955,Передвижной мусорный контейнер 770л Арт.26.C19.V/1 (20.804.40.PE; 21.053.40.V/1),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙ-ПЛАСТ""",1091651001749,1651057721,-,-,1229\94\2023,-,2023-05-24,2026-05-23,-,10115956,Передвижной мусорный контейнер 770л Арт.26.C19.H (20.804.70.PE; 21.053.70.T),22.29.29.190,3926 90 970 9,"ТУ 2297-012-63114101-12, ТО 22.23.24.25.26.27.28.29/004-22",175.0,-,-,-,Нет,-,Акт экспертизы ТПП,2023-05-17,3-049-0306,2026-05-16,Департамент химико-технологического комплекса и биоинженерных технологий,54004/13
